position,volume,cpc,keyword_difficulty,az_relevant,intent,cluster,query,url,collection,gap_type,gsc_impressions_28d,gsc_clicks_28d,gsc_position_28d,competitor_position,competitor_url
1,70,15.489999771118164,,False,informational,unknown,how much money can you get from suing a restaurant,/how-much-money-suing-restaurant/,legacy-flat,ranking,33,6,1.4,,
3,30,192.97999572753906,,False,informational,vehicle-crashes,suing daycare for negligence,/suing-daycare-for-negligence/,legacy-flat,ranking,8,0,6.3,,
4,170,0,,True,informational,meta,ars 28-4135,/glossary/ars-28-4135/,glossary,defend,31,0,4.7,,
4,30,458.1700134277344,,False,informational,vehicle-crashes,suing a daycare for negligence,/suing-daycare-for-negligence/,legacy-flat,defend,13,0,8.4,,
4,40,0,,False,informational,other-claims,level three dog bite,/level-3-dog-bite-settlement-amounts-in-arizona-az-law-now/,legacy-flat,defend,0,0,,,
4,30,1.440000057220459,,False,informational,vehicle-crashes,suing daycare,/suing-daycare-for-negligence/,legacy-flat,defend,0,0,,,
5,20,0,,False,navigational,unknown,how to collect money from uninsured driver,/collect-money-uninsured-driver/,legacy-flat,defend,17,0,2.9,,
5,50,0,,True,informational,vehicle-crashes,bus accident arizona,/bus-accidents/,practice-area,defend,2,0,7,,
5,40,25.360000610351562,,False,informational,vehicle-crashes,can i sue a daycare for negligence,/suing-daycare-for-negligence/,legacy-flat,defend,8,0,1,,
5,40,31.309999465942383,,False,informational,unknown,glass found in food compensation,/foreign-object-in-food-settlements/,legacy-flat,defend,0,0,,,
6,30,0,,False,commercial,meta,how much does an insurance lawyer cost,/insurance-claim-lawyer-cost/,legacy-flat,defend,17,0,8.1,,
6,50,0,,True,informational,vehicle-crashes,bus accident az,/bus-accidents/,practice-area,defend,0,0,,,
6,40,0,,False,informational,unknown,can animal control take my dog for biting another dog,/can-animal-control-take-dog/,legacy-flat,defend,10,0,5.3,,
6,30,30.5,,False,informational,unknown,reasons to sue a restaurant,/lawyer-sue-fast-food/,legacy-flat,defend,6,0,2,,
7,170,0,,True,informational,meta,ars 13-3620,/glossary/ars-13-3620/,glossary,impression_loser,84,0,8.0,,
7,170,0,,False,informational,meta,ars 13 3620,/glossary/ars-13-3620/,glossary,defend,14,0,7.2,,
8,90,0.09000000357627869,,True,informational,vehicle-crashes,does arizona have a motorcycle helmet law,/legal-guides/arizona-motorcycle-law/,legal-guide,defend,9,0,12,,
8,50,67.69000244140625,,False,informational,vehicle-crashes,suing a daycare,/suing-daycare-for-negligence/,legacy-flat,defend,11,0,9.4,,
8,40,44.22999954223633,,False,informational,unknown,million dollar settlement,/million-dollar-slip-fall-settlements/,legacy-flat,defend,6,0,9.3,,
9,590,23.829999923706055,,False,informational,other-claims,dog bite settlement calculator,/dog-bite-settlement-calculator/,legacy-flat,defend,0,0,,,
9,30,0,,False,informational,unknown,will animal control take my dog for biting,/can-animal-control-take-dog/,legacy-flat,defend,6,0,1,,
11,170,93.51000213623047,,False,informational,unknown,azlaw,/contact/,legacy-flat,almost,25,0,6.7,,
11,30,192.97999572753906,,False,informational,vehicle-crashes,sue daycare for negligence,/sue-daycare-for-negligence/,legacy-flat,almost,5,0,6.5,,
12,390,0.05000000074505806,,True,informational,meta,helmet laws in arizona,/legal-guides/arizona-motorcycle-law/,legal-guide,almost,23,0,13.4,,
12,50,0,,False,informational,unknown,will animal control take my dog for biting me,/can-animal-control-take-dog/,legacy-flat,almost,4,0,1,,
12,40,0,,False,informational,meta,ars 11-1025,/glossary/ars-11-1025/,glossary,almost,2,0,36,,
12,30,0,,False,informational,other-claims,level 3 dog bite settlement,/level-3-dog-bite-settlement-amounts-in-arizona-az-law-now/,legacy-flat,almost,8,0,9.9,,
12,30,458.1700134277344,,False,informational,vehicle-crashes,daycare negligence lawsuit,/suing-daycare-for-negligence/,legacy-flat,almost,5,0,73,,
12,30,0,,False,informational,unknown,found foreign object in food,/foreign-object-in-food-settlements/,legacy-flat,almost,1,0,1,,
12,20,13.319999694824219,,False,informational,other-claims,dog bite claim calculator,/dog-bite-settlement-calculator/,legacy-flat,almost,0,0,,,
13,40,85.97000122070312,,True,commercial,meta,lawyers in maricopa az,/locations/maricopa-injury-lawyer/,other,almost,5,0,9.8,,
13,30,1.440000057220459,,False,informational,vehicle-crashes,sue daycare,/sue-daycare-for-negligence/,legacy-flat,almost,6,0,29.7,,
14,70,0,,False,informational,meta,ars 46 456,/abuse/elder-abuse/,other,almost,0,0,,,
14,70,12.109999656677246,,False,informational,unknown,goodnow mckay,/contact/,legacy-flat,almost,1,0,25,,
14,50,67.69000244140625,,False,informational,vehicle-crashes,daycare lawsuits,/daycare-lawsuit-guide/,legacy-flat,almost,1,0,38,,
14,30,0,,True,informational,unknown,duty to warn arizona,/premises-liability/failure-to-report-abuse/,practice-area,almost,0,0,,,
14,30,0,,False,informational,unknown,will animal control take my dog if it bites me,/can-animal-control-take-dog/,legacy-flat,almost,3,0,1,,
15,260,0,,True,informational,meta,ars 28-663,/legal-guides/arizona-hit-and-run-law/,legal-guide,almost,6,0,17,,
15,40,25.360000610351562,,False,informational,vehicle-crashes,can i sue daycare for negligence,/suing-daycare-for-negligence/,legacy-flat,almost,11,0,8.9,,
15,40,56.439998626708984,,False,commercial,unknown,attorney now,/,home,almost,2,0,1,,
15,30,0,,False,informational,unknown,improper use of bedrails or other restraints is considered,/premises-liability/improper-use-of-restraints/,practice-area,almost,0,0,,,
15,30,0,,False,informational,vehicle-crashes,which caregiver behavior is consistent with psychological abuse,/abuse/caregiver-abuse/,other,almost,0,0,,,
16,260,25.299999237060547,,False,informational,other-claims,million dollar slip and fall settlements,/million-dollar-slip-fall-settlements/,legacy-flat,almost,54,1,2.0,,
16,210,0,,False,informational,vehicle-crashes,accident doctors pay $0 car accidents fix your pain,/why-you-dont-have-to-pay-your-doctors-right-away-after-a-car-accident/,legacy-flat,almost,2,0,55.5,,
16,50,0,,False,informational,other-claims,premises liability vs negligence,/premises-liability-vs-negligence/,legacy-flat,almost,0,0,,,
16,30,0,,False,informational,unknown,multi million dollar settlements,/million-dollar-slip-fall-settlements/,legacy-flat,almost,0,0,,,
17,210,0,,False,informational,meta,ars 28 662,/legal-guides/arizona-hit-and-run-law/,legal-guide,almost,10,0,21.4,,
17,70,16.84000015258789,,False,commercial,meta,now law firm,/,home,almost,2,0,43,,
17,50,6.429999828338623,,False,informational,other-claims,negligence premises liability,/premises-liability-vs-negligence/,legacy-flat,almost,0,0,,,
19,260,45.40999984741211,,False,informational,other-claims,level 3 dog bite settlement amount,/level-3-dog-bite-settlement-amounts-in-arizona-az-law-now/,legacy-flat,almost,0,0,,,
19,140,0,,False,informational,meta,ars 8 201,/child-abuse/,practice-area,almost,10,0,13.1,,
19,50,0,,False,informational,unknown,can you sue a restaurant for allergic reaction,/sue-restaurant-allergic-reaction/,legacy-flat,almost,13,0,4.3,,
19,40,0,,False,navigational,unknown,what to do with a million dollar settlement,/million-dollar-slip-fall-settlements/,legacy-flat,almost,11,0,7.1,,
19,40,56.439998626708984,,False,commercial,meta,lawyers now,/about/team/,other,almost,0,0,,,
20,40,0,,False,informational,other-claims,repeated acts of violence in the case of licensed premises,/personal-injury/premises-liability/,other,almost,1,0,20,,
20,30,0,,False,informational,unknown,foreign object found in food,/sue-food-company-object/,legacy-flat,almost,1,0,1,,
21,170,0,,True,informational,unknown,mandatory reporting arizona,/glossary/mandatory-reporter/,glossary,almost,9,0,20.8,,
21,70,0,,True,informational,meta,ars 46-456,/abuse/elder-abuse/,other,almost,10,0,10.7,,
21,30,0,,False,informational,meta,now law,/locations/maricopa-injury-lawyer/,other,almost,4,0,14,,
22,170,0,,True,informational,unknown,mandated reporting arizona,/glossary/mandatory-reporter/,glossary,almost,1,0,22,,
22,20,4.739999771118164,,False,navigational,vehicle-crashes,how to sue a daycare for negligence,/sue-daycare-for-negligence/,legacy-flat,almost,20,0,7.8,,
22,50,31.850000381469727,,False,informational,vehicle-crashes,can you sue a daycare for negligence,/sue-daycare-for-negligence/,legacy-flat,almost,9,0,6.9,,
23,390,40.5099983215332,,False,commercial,meta,solutions now law firm,/locations/,legacy-flat,almost,3,0,30.3,,
23,30,31.209999084472656,,False,navigational,unknown,how to sue a restaurant for negligence,/lawyer-sue-fast-food/,legacy-flat,almost,19,0,14.5,,
23,50,0,,False,informational,abuse-negligence,assault in schools,/abuse/school-abuse/,other,almost,0,0,,,
24,140,0,,False,informational,meta,ars 12 341,/glossary/,glossary,almost,1,0,24,,
24,20,94.7699966430664,,False,commercial,meta,lawyers for suing restaurants,/lawyer-sue-fast-food/,legacy-flat,almost,1,0,2,,
25,320,120.31999969482422,,False,branded,branded,lamber goodnow injury lawyers,/locations/maricopa-injury-lawyer/,other,almost,24,0,45.3,,
27,40,0,,True,informational,meta,ars 46-454,/premises-liability/failure-to-report-abuse/,practice-area,almost,28,0,8.6,,
27,50,0,,False,informational,unknown,unnecessary restraint is,/premises-liability/improper-use-of-restraints/,practice-area,almost,0,0,,,
29,320,0,,False,informational,unknown,failed to report,/premises-liability/failure-to-report-abuse/,practice-area,almost,0,0,,,
30,140,0,,True,informational,meta,ars 12-341,/glossary/,glossary,almost,2,0,30,,
30,90,0,,False,informational,unknown,failure to supervise,/premises-liability/negligent-supervision/,practice-area,almost,5,0,60.4,,
30,30,0,,True,branded,branded,lamber goodnow injury lawyers phoenix,/,home,almost,0,0,,,
30,30,73.62000274658203,,False,commercial,meta,the krasnow law firm,/contact/,legacy-flat,almost,0,0,,,
31,210,4.369999885559082,,False,informational,unknown,negligent employment,/premises-liability/negligent-hiring-or-training/,practice-area,deep_back,1,0,45,,
32,720,147.2899932861328,,False,informational,unknown,get insured now,/hit-by-uninsured-driver-insured/,legacy-flat,deep_back,0,0,,,
32,110,5.269999980926514,,False,informational,vehicle-crashes,can you sue someone for verbal abuse,/can-you-sue-for-verbal-abuse-or-being-yelled-at-in-arizona/,legacy-flat,deep_back,0,0,,,
33,260,36.0099983215332,,False,informational,meta,warnock mackinlay law pllc,/,home,deep_back,1,0,42,,
33,140,0,,False,informational,meta,ars 28 645,/legal-guides/arizona-pedestrian-law/,legal-guide,deep_back,2,0,30.5,,
33,40,135,,False,informational,unknown,can you sue if you fall in a store,/suing-store-for-fall-guide/,legacy-flat,deep_back,1,0,34,,
34,320,0,,True,informational,meta,ars 13-3623,/abuse/child-abuse/,other,impression_loser,245,0,26.9,,
34,140,22.860000610351562,,False,informational,meta,karnas law,/,home,deep_back,3,0,40.7,,
34,70,0,,True,informational,meta,ars 13-1401,/abuse/sexual-abuse/,other,deep_back,0,0,,,
34,30,0,,False,informational,vehicle-crashes,progressive hit-and-run parked car,/parked-car-hit-by-uninsured-driver/,legacy-flat,deep_back,0,0,,,
35,140,4,,True,informational,abuse-negligence,statute of limitations for medical malpractice in arizona,/medical-negligence/,practice-area,deep_back,2,0,49.5,,
35,70,99.75,,True,informational,meta,big az law,/,home,deep_back,1,0,58,,
36,70,12.760000228881836,,True,informational,other-claims,dog bite laws arizona,/dog-bite/,practice-area,deep_back,1,0,36,,
36,50,0,,False,informational,vehicle-crashes,daycare negligence,/suing-daycare-for-negligence/,legacy-flat,deep_back,2,0,36,,
36,30,0,,False,informational,vehicle-crashes,progressive hit and run parked car,/parked-car-hit-by-uninsured-driver/,legacy-flat,deep_back,1,0,37,,
37,390,20.270000457763672,,False,informational,meta,brandon law,/about/,legacy-flat,deep_back,2,0,40,,
37,260,49.63999938964844,,False,informational,meta,rasmussen injury law,/,home,deep_back,2,0,72,,
37,170,0.07000000029802322,,True,informational,vehicle-crashes,arizona motorcycle laws,/legal-guides/arizona-motorcycle-law/,legal-guide,deep_back,1,0,39,,
37,210,18.729999542236328,,False,informational,unknown,call christina now,/locations/buckeye-injury-lawyer/,other,deep_back,2,0,39,,
37,170,76.88999938964844,,False,informational,vehicle-crashes,car crash effects,/psychological-effects-car-accidents/,legacy-flat,deep_back,1,0,88,,
37,110,3.6600000858306885,,False,commercial,meta,karnas law firm pllc,/,home,deep_back,0,0,,,
38,210,545.6799926757812,,False,informational,vehicle-crashes,bus injury compensation,/bus-accidents/,practice-area,impression_loser,63,0,56.0,,
38,880,0,,False,informational,unknown,negligent hiring,/premises-liability/negligent-hiring-or-training/,practice-area,deep_back,1,0,1,,
38,480,21.950000762939453,,False,commercial,meta,karnas law firm,/,home,deep_back,0,0,,,
38,40,0,,True,informational,meta,ars 28-815,/personal-injury/bicycle-accidents/,other,deep_back,15,0,9.3,,
38,70,0,,False,commercial,meta,are lawyers mandatory reporters,/premises-liability/failure-to-report-abuse/,practice-area,deep_back,0,0,,,
38,50,22.959999084472656,,False,informational,other-claims,level 5 dog bite settlement examples,/dog-bite-settlement-examples/,legacy-flat,deep_back,0,0,,,
39,70,0,,False,informational,vehicle-crashes,does collision insurance cover uninsured motorist,/hit-by-uninsured-driver-insured/,legacy-flat,deep_back,0,0,,,
40,480,0,,False,informational,unknown,policy limits,/glossary/policy-limits/,glossary,deep_back,23,0,80.0,,
40,30,38.7400016784668,,False,navigational,unknown,how to sue a store,/suing-store-for-fall-guide/,legacy-flat,deep_back,2,0,44.5,,
40,30,0,,False,informational,unknown,what happens if i hit someone without insurance,/hit-by-uninsured-driver/,legacy-flat,deep_back,0,0,,,
41,110,0,,False,informational,unknown,lifelaw personal injury,/,home,deep_back,0,0,,,
41,90,82.54000091552734,,False,informational,vehicle-crashes,what happens if an uninsured driver hits my car,/hit-by-uninsured-driver-insured/,legacy-flat,deep_back,1,0,97,,
41,40,0,,False,informational,meta,ars 46 454,/premises-liability/failure-to-report-abuse/,practice-area,deep_back,0,0,,,
41,30,0,,False,informational,vehicle-crashes,what emotional reactions can crashes trigger in you,/psychological-effects-car-accidents/,legacy-flat,deep_back,1,0,41,,
41,20,1.159999966621399,,False,informational,unknown,food allergy restaurant responsibility,/sue-restaurant-allergic-reaction/,legacy-flat,deep_back,0,0,,,
42,110,335.8399963378906,,True,informational,other-claims,az dog bite law,/dog-bite/,practice-area,deep_back,0,0,,,
42,70,0,,True,informational,meta,ars 13-1410,/abuse/sexual-abuse/,other,deep_back,16,0,54.3,,
42,40,24.459999084472656,,True,informational,unknown,underinsured motorist coverage arizona,/hit-by-uninsured-driver-insured/,legacy-flat,deep_back,6,0,18.4,,
42,30,81.55000305175781,,False,navigational,unknown,how to sue a store for injury,/suing-store-for-fall-guide/,legacy-flat,deep_back,6,0,43.8,,
43,140,0,,False,informational,meta,ars 28 729,/legal-guides/,legal-guide,deep_back,5,0,52.4,,
43,70,0,,False,informational,vehicle-crashes,uninsured motorist coverage hit-and-run,/hit-by-uninsured-driver-insured/,legacy-flat,deep_back,0,0,,,
43,40,0,,False,informational,unknown,negligent training,/premises-liability/negligent-hiring-or-training/,practice-area,deep_back,3,0,35.7,,
44,70,0,,True,informational,unknown,mandatory reporting guidelines arizona,/premises-liability/failure-to-report-abuse/,practice-area,deep_back,0,0,,,
44,40,22.299999237060547,,False,commercial,unknown,national injury attorneys,/,home,deep_back,0,0,,,
45,320,21.979999542236328,,False,informational,meta,vrana law,/about/,legacy-flat,deep_back,4,0,57,,
45,260,5.5,,False,informational,meta,elmm law group,/,home,deep_back,8,0,73,,
45,260,42.36000061035156,,False,informational,meta,trauma law,/,home,deep_back,0,0,,,
45,140,87.01000213623047,,False,informational,unknown,uninsured motorist hit me,/hit-by-uninsured-driver/,legacy-flat,deep_back,2,0,72,,
45,50,26,,False,informational,meta,aj law plc,/,home,deep_back,0,0,,,
46,260,108.47000122070312,,True,commercial,unknown,injury attorney arizona,/,home,deep_back,8,0,18.1,,
46,260,15.619999885559082,,False,informational,unknown,insurance policy limits,/glossary/policy-limits/,glossary,deep_back,19,0,71.3,,
46,50,26.719999313354492,,False,commercial,meta,jensen phelan law firm,/,home,deep_back,1,0,49,,
46,40,135,,False,informational,unknown,if you fall in a store can you sue,/suing-store-for-fall-guide/,legacy-flat,deep_back,0,0,,,
